	Grade3Cc_1	Grade3Cc_2	Grade3Cc_3	ShortCc_1	ShortCc_2	ShortCc_3	ShortCc_4	ShortCc_5
ENSBTAG00000021837	5.418393852	5.389457287	5.455016075	5.645262091	5.636284616	5.559988011	5.571396062	5.446727801
ENSBTAG00000021838	12.08224261	12.2882161	12.22116871	12.19676239	12.11349134	12.00704668	12.1978776	12.0960963
ENSBTAG00000021842	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000021845	10.72658473	10.76376585	10.87036345	10.79276702	10.72132813	10.92306322	10.84119323	10.96720445
ENSBTAG00000021849	7.455225592	7.483660312	7.540713278	7.411374642	7.172119126	7.70257473	7.19334865	7.173413967
ENSBTAG00000021850	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000021853	5.42605373	5.499361676	5.374237383	5.253992632	5.149745921	5.010134352	5.413185058	5.518427145
ENSBTAG00000021859	7.262467554	7.205071008	7.296287547	7.204870444	7.428741192	7.500855608	7.031186066	7.306088822
ENSBTAG00000021864	12.5019438	12.31816653	12.21017144	12.63726908	12.64840914	12.9321714	12.55609179	12.47788021
ENSBTAG00000021865	9.366832257	9.333037528	9.35442678	9.489108801	9.607171005	9.683602137	9.655405155	9.478963819
ENSBTAG00000021867	5.593943993	5.541562392	5.477398559	5.178699916	5.658205604	5.632601354	6.456729441	5.477398559
ENSBTAG00000021875	10.17401567	10.25056039	10.18578655	9.705479194	9.939499888	9.867546244	10.20399557	10.25500508
ENSBTAG00000021876	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000021879	11.44534957	10.90889973	11.00738361	11.22951111	11.22542853	11.31482644	11.38955201	11.05153319
ENSBTAG00000021880	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000021883	10.22800394	10.25502062	10.25375207	10.30924822	10.28838974	10.43051542	10.29374437	10.24596774
ENSBTAG00000021884	4.272922653	4.231061919	4.363517831	4.233638771	4.520790734	4.363517831	4.499951202	4.495925412
ENSBTAG00000021886	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000021887	2.156731595	2.156731595	2.156731595	2.331158523	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000021893	2.787603931	2.821999376	2.810383887	2.913405764	2.870166607	2.831740256	3.118774249	2.851254778
ENSBTAG00000021894	6.079411737	6.052410471	6.026468078	6.368981219	6.283845918	6.079411737	6.195059169	6.079411737
ENSBTAG00000021896	3.007286645	3.03620841	3.011802125	3.007286645	3.031260199	3.007286645	3.007286645	3.007286645
ENSBTAG00000021897	10.23063534	10.52911294	10.49929694	10.14380012	9.770918001	10.20058144	10.78436916	10.10866598
ENSBTAG00000021899	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000021901	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000021902	8.569145044	8.12951162	7.643515717	5.720561629	7.471511777	7.518293394	7.889900158	7.721108554
ENSBTAG00000021905	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000021916	5.635147934	4.667796611	5.037994114	4.49947699	6.486502104	6.825444224	4.330163896	6.151661511
ENSBTAG00000021918	2.240300161	2.190067439	2.190067439	2.190067439	2.190067439	2.190067439	2.190067439	2.190067439
ENSBTAG00000021921	9.958878921	10.05933062	9.985042643	10.11248871	10.10358749	10.02909425	10.14806865	10.05760652
ENSBTAG00000021922	4.154525606	4.048176843	4.131497797	4.064918895	4.299220718	4.393584415	3.955850509	4.046892738
ENSBTAG00000021923	13.6774793	13.56982556	13.58276176	13.69162862	13.55058412	13.35354084	13.46809336	13.70911942
ENSBTAG00000021927	5.267594255	5.231263801	5.364769561	5.157550034	5.552653028	5.680156873	5.390193891	5.370897745
ENSBTAG00000021931	6.543418677	6.428116282	6.474881288	6.600570464	6.501859166	6.587684892	6.757281846	6.387084577
ENSBTAG00000021932	10.53808243	10.60283786	10.61598416	10.52441688	10.84492927	10.65422291	11.08360583	10.65465943
ENSBTAG00000021933	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000021934	2.322826966	2.322826966	2.322826966	2.322826966	2.329914751	2.322826966	2.322826966	2.322826966
ENSBTAG00000021935	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156897953
ENSBTAG00000021939	8.709408075	8.58777358	8.680432171	8.802235468	9.114864632	8.945660584	8.849820783	8.666643599
ENSBTAG00000021940	2.823132488	2.763544859	2.763544859	2.763544859	2.763544859	2.763544859	2.763544859	3.065216867
ENSBTAG00000021942	7.180505837	7.183404158	7.186188819	7.180505837	7.353850235	7.180505837	7.42375305	6.928879156
ENSBTAG00000021943	5.12835687	4.885803984	5.195126017	5.128685369	4.733422492	5.287079973	5.303703125	5.38825475
ENSBTAG00000021944	13.40209642	13.30019299	13.27470754	13.36575965	13.27814142	13.50397493	13.26835375	13.2603991
ENSBTAG00000021945	12.4020392	12.72003511	12.92554313	12.69989884	10.76462298	12.64805081	10.74007359	11.96714257
ENSBTAG00000021949	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000021951	10.31165604	10.34146799	10.26506465	10.34076856	10.27579311	10.45374916	10.22072613	10.26151737
ENSBTAG00000021955	12.01703624	11.99354066	12.05358375	12.30244538	12.35905873	12.2944018	12.05489344	11.93796494
ENSBTAG00000021956	9.894484108	9.930215781	9.964546212	10.23784188	10.12330114	10.20340005	9.797880372	9.87303037
ENSBTAG00000021957	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000021961	9.924212328	9.849854343	9.823051544	10.15504019	10.09881603	10.50282372	9.838495356	9.784145804
ENSBTAG00000021962	9.184503088	8.595817385	8.516990634	8.77265985	8.551337309	8.484786336	8.584517304	8.560170772
ENSBTAG00000021964	3.706879165	3.869943844	4.026613829	3.558467738	2.687528741	3.558467738	2.687528741	2.788021016
ENSBTAG00000021965	13.65840878	13.70865014	13.70865183	13.6692936	13.69106876	13.57653827	13.62766327	13.64295821
ENSBTAG00000021967	9.4884877	9.555088338	9.423982885	9.292783711	9.398045546	9.423982885	9.423248387	9.544962516
ENSBTAG00000021969	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000021971	2.419986917	3.29657138	3.122996378	2.419986917	2.419986917	2.419986917	2.325510711	2.371810344
ENSBTAG00000021976	11.860057	11.84564316	11.82356757	12.03703464	11.95265783	12.0698197	11.6937071	11.88832511
ENSBTAG00000021979	15.2401198	15.21923764	15.20561786	15.2000223	15.27533411	15.28821112	15.30530131	15.27084466
ENSBTAG00000021986	11.13183564	11.16157928	11.14584038	11.07801624	11.17748254	11.13147645	11.19801028	11.00185411
ENSBTAG00000021988	7.703619729	7.766678977	7.912084636	7.766472068	7.715460814	7.963635602	7.585784825	7.902628524
ENSBTAG00000021993	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000021996	3.171737626	3.276275986	3.376714802	3.350747155	3.363527934	2.780167058	3.752057296	3.536840041
ENSBTAG00000021997	9.835739075	9.90736656	9.67410885	9.890468788	9.745092213	9.678530678	10.19723299	10.425845
ENSBTAG00000022000	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000022003	5.212041568	5.476856057	5.289248282	5.395931988	5.617402142	4.876433052	5.673255254	5.712609954
ENSBTAG00000022004	8.741229378	8.691752541	8.673295223	8.767083793	8.609985528	8.465233418	8.919855194	8.671665168
ENSBTAG00000022009	8.069728484	8.53794415	8.730469618	8.462582191	8.571850459	8.055290358	8.631417714	8.337475317
ENSBTAG00000022013	10.05213241	10.07329789	10.11390926	10.19390297	10.11390926	9.295497993	9.850795292	10.20325053
ENSBTAG00000022020	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000022022	9.853604447	9.804306615	10.03043141	9.960411685	10.09789543	9.832018824	10.18899214	9.981897432
ENSBTAG00000022027	11.28323943	11.2368949	11.35844298	11.3590775	11.30425702	11.58249929	11.56579062	11.25738084
ENSBTAG00000022028	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156891903	2.156731595
ENSBTAG00000022032	10.14804247	10.11937634	10.06918625	9.985309936	9.996895215	10.07219959	10.49035738	9.839949557
ENSBTAG00000022044	6.435624006	6.268018884	6.225612766	6.388936705	6.345473182	6.36602653	6.335554632	6.335554632
ENSBTAG00000022067	5.397201244	5.060402248	5.127057462	5.168605714	5.114266767	5.248328655	5.080510097	5.175849426
ENSBTAG00000022069	8.931982075	9.165566056	9.030581136	9.11456549	9.103259478	8.948179768	9.079659553	9.361366488
ENSBTAG00000022109	8.998621777	8.52364413	8.907687633	8.850879097	9.027930233	9.233252998	8.686039281	8.873149579
ENSBTAG00000022120	2.25418837	2.355431992	2.25418837	2.24989726	2.156731595	2.251452382	2.156785862	2.25418837
ENSBTAG00000022155	6.32910362	5.905412082	5.875049822	6.576080649	6.496596774	6.625997841	7.137645046	6.908165067
ENSBTAG00000022158	2.158690682	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000022160	8.145340371	8.015722508	8.096102095	8.568359498	8.44207159	8.469222392	8.24095268	8.272140227
ENSBTAG00000022167	7.209911263	6.927395351	6.923264678	7.253638758	6.990886058	6.892768083	6.959594208	7.054090928
ENSBTAG00000022209	2.323226	2.246439489	2.291467786	2.199573301	2.199573301	2.199573301	2.199573301	2.418061325
ENSBTAG00000022238	10.35844945	10.35970276	10.32767226	10.5353868	10.54188495	10.84335757	10.28507061	10.48048828
ENSBTAG00000022242	10.29117183	10.02066278	10.04852882	10.15244266	10.52597752	10.29328086	10.28888594	10.13348657
ENSBTAG00000022246	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000022292	12.17044844	11.69325034	11.84769179	12.47450894	12.33476979	12.4139012	11.54152989	11.60537771
ENSBTAG00000022293	4.997031592	4.927679524	5.019409842	5.144159793	5.081338054	5.07789309	5.099855047	5.044170062
ENSBTAG00000022314	10.49853755	9.97660718	9.957213596	10.26901373	10.31568677	10.28341396	10.15664961	9.838377251
ENSBTAG00000022329	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000022348	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000022373	2.156731595	2.156731595	2.156731595	2.187851327	2.156731595	2.156731595	2.156731595	2.256395932
ENSBTAG00000022379	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000022381	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000022382	2.304360156	2.377525343	2.447821307	2.304360156	2.304360156	2.304360156	2.33307532	2.304360156
ENSBTAG00000022394 /// ENSBTAG00000022395	2.157359915	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000022396	2.598414303	2.159168575	2.159168575	2.159168575	2.159168575	2.159168575	2.159168575	2.159168575
ENSBTAG00000022449	2.660478385	2.35623362	2.35623362	2.974911038	2.901468793	2.768468965	2.35623362	2.35623362
ENSBTAG00000022450	8.454435289	8.63785362	8.536911617	8.742216828	8.761787116	8.738658804	8.653840475	8.689377632
ENSBTAG00000022461	7.435138596	6.928910501	6.879134897	7.179390523	6.421951751	6.494791575	6.20926056	6.638014599
ENSBTAG00000022471	2.158537182	2.158537182	2.158537182	2.158537182	2.158537182	2.158537182	2.158537182	2.158537182
ENSBTAG00000022520	4.313075587	4.451438724	4.479920903	4.313075587	4.313075587	4.321615794	4.198632566	4.313075587
ENSBTAG00000022530	7.860247432	7.469840738	7.446921129	7.675864329	7.635422386	7.620518985	7.298489468	7.932990531
ENSBTAG00000022539	10.78933692	10.71045218	10.80677566	10.76431785	10.65161	10.93475351	10.7537766	11.02546387
ENSBTAG00000022564	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000022570	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000022571	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000022632	3.766127397	3.767310485	3.768447177	3.79516048	3.887419404	3.766127397	3.62002683	3.766127397
ENSBTAG00000022635	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000022656	7.019334444	7.067138409	6.955052463	7.088222309	6.914171854	7.039032065	6.910051771	7.019334444
ENSBTAG00000022681	5.963957248	5.988945239	5.915543697	6.137465358	5.846266625	6.038896722	5.782906669	5.940761664
ENSBTAG00000022714	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000022721	7.969827162	8.04478693	7.582699062	8.020381593	8.318400635	8.236984881	7.810584281	7.532401527
ENSBTAG00000022731	9.330561757	9.335709959	9.387023154	9.310981415	9.330779618	9.242951675	9.330761975	9.313342981
ENSBTAG00000022759	15.47020978	15.51811735	15.47020978	15.4668785	15.29604568	15.21035983	15.41419546	15.37296327
ENSBTAG00000022777	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000022779	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000022837	7.12470575	9.746832552	10.30581238	6.624728246	7.361919283	8.083693138	8.605495756	8.755713144
ENSBTAG00000022837 /// ENSBTAG00000047954	8.987108158	10.38898919	10.84169687	8.80323332	8.980969307	9.169733799	9.377021741	9.493600893
ENSBTAG00000022861	2.156731595	2.156731595	2.156731595	2.161001017	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000022920	6.53728634	6.197352459	5.401358602	4.527256591	5.380407182	5.79956501	5.841814853	5.28088541
ENSBTAG00000022927	5.81820591	5.629036587	5.764279201	5.620424513	5.5915987	5.05740639	6.709294983	5.784516566
ENSBTAG00000023018	9.502565816	9.531583113	9.570295382	9.476682992	9.475121136	9.412073401	9.402910641	9.307960315
ENSBTAG00000023026	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000023028	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000023032	2.379887025	2.40020295	2.381178923	2.344960877	2.272761887	2.34531332	2.345516591	2.33060882
ENSBTAG00000023039	2.389874276	2.389874276	2.389874276	2.389874276	2.389874276	2.389874276	2.237508126	2.389874276
ENSBTAG00000023054	8.757538789	9.087870972	9.074911607	9.322126507	9.342268504	9.493752698	9.003738932	9.103891023
ENSBTAG00000023179	7.389164845	7.209707854	7.517897605	7.160986227	5.58771527	5.840446492	9.74287167	8.655956166
ENSBTAG00000023218	10.79767402	10.70896285	10.66764865	10.77188411	10.87076491	10.74502884	10.66220552	10.83362068
ENSBTAG00000023279	9.592844901	9.788160832	9.629400807	9.768804588	9.470764133	9.397388516	9.583487597	9.915858379
ENSBTAG00000023283	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000023333	6.389620809	6.674346465	6.542818534	6.721174137	6.775173784	6.899816466	6.882912027	6.882122868
ENSBTAG00000023343	14.39291302	14.40156477	14.36887491	14.44680914	14.39725589	14.49829765	14.49698422	14.38504354
ENSBTAG00000023374	5.446432033	4.727576862	4.976781206	5.418951861	4.942230255	4.265557375	5.099261867	4.65396896
ENSBTAG00000023375	8.542617355	8.313795303	8.162704938	8.380083114	8.169456862	8.705429685	8.277866797	7.993237255
