	d10_1	d10_2	d10_3	d10_4	d13_1	d13_2	d13_3	d19_1	d19_2	d7_1	d7_2
ENSBTAT00000015544	0	0	0.878779326	0.45543893	1.431098391	3.133091466	0.501612285	0.653380635	0.641746175	16.68377078	0
ENSBTAT00000015545	5.551824307	0	0	0	0	0.247834682	0	0	0	2.932720723	6.804414548
ENSBTAT00000015548	40.44333717	14.02805701	66.64578139	44.43259087	68.2942084	50.31924618	61.31007685	55.84595695	107.4192257	43.5068366	62.34734164
ENSBTAT00000015550	0	0	0	2.847766914	1.892923766	2.637193879	2.412676537	0.523776422	10.1861054	21.39901994	60.51019722
ENSBTAT00000015553	0.414076243	0.218857551	0.158993735	0.13733432	0.302076168	0.354285413	0.786539319	0.052539256	0	0.335391371	1.167248167
ENSBTAT00000015554	0	0.608601537	0.442131564	0.458280983	0.3600072	0.722480628	0.672989961	0.036525438	0	0.932660093	2.704914012
ENSBTAT00000015555	5.540876346	3.416697026	9.101152165	6.677016788	4.619623206	6.373739012	7.353946758	6.5910308	3.538938089	10.09793445	5.206430674
ENSBTAT00000015560	67.38814449	37.2976813	56.8765508	19.8621978	31.40465913	44.60303823	45.70245261	34.90746539	20.67848787	84.96364747	99.46115602
ENSBTAT00000015561	4.421029669	0	0	0	0	0	0	0	0	4.297107777	9.970026275
ENSBTAT00000015562	4.270218844	0	0	0	0	0	0	0	0	3.990888648	7.870613616
ENSBTAT00000015563	0	0	0	0	0	0	0	0.130342692	0	2.912210046	3.861043578
ENSBTAT00000015564	0	0	0	0	0	0	0	0	0	0	0
ENSBTAT00000015565	0	0	0	0	0	0.235859477	0.302091432	0.13116418	0	3.349216356	0
ENSBTAT00000015567	0	0	0	0.542704347	0.974461295	2.266716015	1.963953086	0	0	0	0
ENSBTAT00000015575	12.75319055	47.18436455	16.59494724	5.075734085	4.098051727	2.424818809	5.435035914	5.259032034	3.37736828	21.52034267	18.97373521
ENSBTAT00000015577	12.26422518	4.730242195	4.709120603	7.519574393	8.031551678	5.104860211	9.952839236	3.248930988	10.9364154	14.09513586	16.35156507
ENSBTAT00000015578	29.67877518	1.069536903	14.50377393	18.65770039	19.40173144	7.848834344	14.04445636	20.4119872	11.53735584	18.84881117	25.66905925
ENSBTAT00000015579	10.03181656	7.953386044	30.04511578	6.18858404	10.19347605	4.463297985	8.574962298	2.004766269	3.656841101	21.93890347	16.96733829
ENSBTAT00000015581	76.97392743	113.9827671	117.9791067	64.94199979	99.5455204	76.85390329	68.31913923	122.4669856	81.34039434	88.11015335	88.76594095
ENSBTAT00000015583	12.69015093	2.012191285	6.090830271	13.51047401	8.431116405	3.148746823	15.29739592	12.68004971	15.00442003	4.625416785	9.837446138
ENSBTAT00000015584	8.992540988	35.64715801	26.97566462	20.91481691	2.723663842	5.289663989	0.862280398	5.134504587	31.46669757	44.38524588	29.31008367
ENSBTAT00000015586	152.5114638	180.3856862	171.8654589	124.4628843	170.8504641	155.7372623	153.9577493	87.6473346	92.40151475	167.792189	163.8448753
ENSBTAT00000015587	0	0	0	0	0	0	0	0	0	0	0
ENSBTAT00000015588	0.816020899	0	0	0	0.446476592	0.768010087	0.357700303	0.271790452	0.190679143	1.982869385	0
ENSBTAT00000015591	0	0	0	0	0	0	0	0.042743598	0	0	0.633080742
ENSBTAT00000015592	4.172214963	11.57729771	5.406798076	24.44092385	5.503130735	5.220781387	7.829883331	14.41742483	9.749191145	4.118630924	1.470142984
ENSBTAT00000015593	0	0	0	0.288316143	0	0.061981475	0.238159679	0.17234307	0.10156454	4.840770198	6.636745959
ENSBTAT00000015595	0	0	0	0	0.519238929	0.649580198	0	0.045154882	0.088701657	0.576504455	0
ENSBTAT00000015599	30.75378764	52.01514473	18.63134223	16.45589413	2.350380343	2.806727771	5.542119062	24.64848195	32.96079661	20.75816387	28.89749803
ENSBTAT00000015600	15.11297242	5.286091944	4.778908347	22.24636095	17.96225628	10.00229545	15.00305578	21.84772238	17.47024009	9.18084646	24.43365687
